#Gene Ontology derivation source to the child term of biological process.
#Ver. Dec. 2020.
#Citation: Haiting Chai, Quan Gu, Joseph Hughes and David L. Robertson (202X), In silico prediction of HIV-1-host molecular interactions and their directionality, PLOS Computational Biology, XX(X): XXX-XXX, PMID: XXXXXXXX.
GO_ID	GO_name	GO_root_term(s)
GO:0000054	ribosomal_subunit_export_from_nucleus	GO:0051179;
GO:0000055	ribosomal_large_subunit_export_from_nucleus	GO:0051179;
GO:0000056	ribosomal_small_subunit_export_from_nucleus	GO:0051179;
GO:0000060	protein_import_into_nucleus,_translocation	GO:0051179;
GO:0000061	protein_import_into_nucleus,_substrate_release	GO:0009987;GO:0071840;
GO:0000070	mitotic_sister_chromatid_segregation	GO:0009987;GO:0071840;
GO:0000073	mitotic_spindle_pole_body_separation	GO:0009987;
GO:0000075	cell_cycle_checkpoint	GO:0009987;GO:0065007;
GO:0000076	DNA_replication_checkpoint	GO:0009987;GO:0065007;
GO:0000077	DNA_damage_checkpoint	GO:0009987;GO:0050896;GO:0065007;
GO:0000079	regulation_of_cyclin-dependent_protein_serine/threonine_kinase_activity	GO:0065007;
GO:0000080	mitotic_G1_phase	GO:0044848;
GO:0000082	G1/S_transition_of_mitotic_cell_cycle	GO:0009987;
GO:0000083	regulation_of_transcription_involved_in_G1/S_transition_of_mitotic_cell_cycle	GO:0009987;GO:0065007;
GO:0000084	mitotic_S_phase	GO:0044848;
GO:0000085	mitotic_G2_phase	GO:0044848;
GO:0000086	G2/M_transition_of_mitotic_cell_cycle	GO:0009987;
GO:0000087	mitotic_M_phase	GO:0044848;
GO:0000088	mitotic_prophase	GO:0044848;
GO:0000089	mitotic_metaphase	GO:0044848;
GO:0000090	mitotic_anaphase	GO:0044848;
GO:0000091	mitotic_anaphase_A	GO:0044848;
GO:0000092	mitotic_anaphase_B	GO:0044848;
GO:0000093	mitotic_telophase	GO:0044848;
GO:0000096	sulfur_amino_acid_metabolic_process	GO:0008152;GO:0009987;
GO:0000097	sulfur_amino_acid_biosynthetic_process	GO:0008152;GO:0009987;
GO:0000098	sulfur_amino_acid_catabolic_process	GO:0008152;GO:0009987;
GO:0000101	sulfur_amino_acid_transport	GO:0051179;
GO:0000103	sulfate_assimilation	GO:0008152;GO:0009987;
GO:0000105	histidine_biosynthetic_process	GO:0008152;GO:0009987;
GO:0000117	regulation_of_transcription_involved_in_G2/M_transition_of_mitotic_cell_cycle	GO:0009987;GO:0065007;
GO:0000122	negative_regulation_of_transcription_by_RNA_polymerase_II	GO:0065007;
GO:0000128	flocculation	GO:0051704;GO:0098743;
GO:0000132	establishment_of_mitotic_spindle_orientation	GO:0009987;GO:0051179;GO:0071840;
GO:0000147	actin_cortical_patch_assembly	GO:0009987;GO:0071840;
GO:0000154	rRNA_modification	GO:0008152;GO:0009987;
GO:0000160	phosphorelay_signal_transduction_system	GO:0009987;GO:0065007;
GO:0000161	osmosensory_signaling_MAPK_cascade	GO:0008152;GO:0009987;GO:0050896;GO:0065007;
GO:0000162	tryptophan_biosynthetic_process	GO:0008152;GO:0009987;
GO:0000165	MAPK_cascade	GO:0008152;GO:0009987;GO:0065007;
GO:0000167	activation_of_MAPKKK_activity_involved_in_osmosensory_signaling_pathway	GO:0065007;
GO:0000168	activation_of_MAPKK_activity_involved_in_osmosensory_signaling_pathway	GO:0065007;
GO:0000169	activation_of_MAPK_activity_involved_in_osmosensory_signaling_pathway	GO:0065007;
GO:0000173	inactivation_of_MAPK_activity_involved_in_osmosensory_signaling_pathway	GO:0065007;
GO:0000183	chromatin_silencing_at_rDNA	GO:0009987;GO:0065007;GO:0071840;
GO:0000184	nuclear-transcribed_mRNA_catabolic_process,_nonsense-mediated_decay	GO:0008152;GO:0009987;GO:0065007;
GO:0000185	activation_of_MAPKKK_activity	GO:0065007;
GO:0000186	activation_of_MAPKK_activity	GO:0065007;
GO:0000187	activation_of_MAPK_activity	GO:0065007;
GO:0000188	inactivation_of_MAPK_activity	GO:0065007;
GO:0000196	cell_wall_integrity_MAPK_cascade	GO:0008152;GO:0009987;GO:0050896;GO:0065007;
GO:0000197	activation_of_MAPKKK_activity_involved_in_cell_wall_organization_or_biogenesis	GO:0065007;
GO:0000198	activation_of_MAPKK_activity_involved_in_cell_wall_organization_or_biogenesis	GO:0065007;
GO:0000199	activation_of_MAPK_activity_involved_in_cell_wall_organization_or_biogenesis	GO:0065007;
GO:0000200	inactivation_of_MAPK_activity_involved_in_cell_wall_organization_or_biogenesis	GO:0065007;
GO:0000209	protein_polyubiquitination	GO:0008152;GO:0009987;
GO:0000212	meiotic_spindle_organization	GO:0009987;GO:0022414;GO:0071840;
GO:0000226	microtubule_cytoskeleton_organization	GO:0009987;GO:0071840;
GO:0000236	mitotic_prometaphase	GO:0044848;
GO:0000237	leptotene	GO:0044848;
GO:0000238	zygotene	GO:0044848;
GO:0000239	pachytene	GO:0044848;
GO:0000240	diplotene	GO:0044848;
GO:0000241	diakinesis	GO:0044848;
GO:0000244	spliceosomal_tri-snRNP_complex_assembly	GO:0009987;GO:0071840;
GO:0000245	spliceosomal_complex_assembly	GO:0009987;GO:0071840;
GO:0000255	allantoin_metabolic_process	GO:0008152;GO:0009987;
GO:0000256	allantoin_catabolic_process	GO:0008152;GO:0009987;
GO:0000266	mitochondrial_fission	GO:0009987;GO:0071840;
GO:0000270	peptidoglycan_metabolic_process	GO:0008152;
GO:0000271	polysaccharide_biosynthetic_process	GO:0008152;
GO:0000272	polysaccharide_catabolic_process	GO:0008152;
GO:0000278	mitotic_cell_cycle	GO:0009987;
GO:0000279	M_phase	GO:0044848;
GO:0000280	nuclear_division	GO:0009987;GO:0071840;
GO:0000281	mitotic_cytokinesis	GO:0009987;
GO:0000282	cellular_bud_site_selection	GO:0009987;
GO:0000288	nuclear-transcribed_mRNA_catabolic_process,_deadenylation-dependent_decay	GO:0008152;GO:0009987;GO:0065007;
GO:0000289	nuclear-transcribed_mRNA_poly(A)_tail_shortening	GO:0008152;GO:0009987;GO:0065007;
GO:0000290	deadenylation-dependent_decapping_of_nuclear-transcribed_mRNA	GO:0008152;GO:0009987;GO:0065007;
GO:0000291	nuclear-transcribed_mRNA_catabolic_process,_exonucleolytic	GO:0008152;GO:0009987;GO:0065007;
GO:0000292	RNA_fragment_catabolic_process	GO:0008152;GO:0009987;
GO:0000294	nuclear-transcribed_mRNA_catabolic_process,_endonucleolytic_cleavage-dependent_decay	GO:0008152;GO:0009987;GO:0065007;
GO:0000296	spermine_transport	GO:0051179;
GO:0000301	retrograde_transport,_vesicle_recycling_within_Golgi	GO:0051179;
GO:0000302	response_to_reactive_oxygen_species	GO:0050896;
GO:0000303	response_to_superoxide	GO:0050896;
GO:0000304	response_to_singlet_oxygen	GO:0050896;
GO:0000305	response_to_oxygen_radical	GO:0050896;
GO:0000316	sulfite_transport	GO:0051179;
GO:0000320	re-entry_into_mitotic_cell_cycle	GO:0009987;
GO:0000321	re-entry_into_mitotic_cell_cycle_after_pheromone_arrest	GO:0009987;GO:0065007;
GO:0000335	negative_regulation_of_transposition,_DNA-mediated	GO:0065007;
GO:0000336	positive_regulation_of_transposition,_DNA-mediated	GO:0065007;
GO:0000337	regulation_of_transposition,_DNA-mediated	GO:0065007;
GO:0000338	protein_deneddylation	GO:0008152;GO:0009987;
GO:0000348	mRNA_branch_site_recognition	GO:0009987;GO:0071840;
GO:0000349	generation_of_catalytic_spliceosome_for_first_transesterification_step	GO:0009987;GO:0071840;
GO:0000350	generation_of_catalytic_spliceosome_for_second_transesterification_step	GO:0009987;GO:0071840;
GO:0000352	trans_assembly_of_SL-containing_precatalytic_spliceosome	GO:0009987;GO:0071840;
GO:0000353	formation_of_quadruple_SL/U4/U5/U6_snRNP	GO:0009987;GO:0071840;
GO:0000354	cis_assembly_of_pre-catalytic_spliceosome	GO:0009987;GO:0071840;
GO:0000365	mRNA_trans_splicing,_via_spliceosome	GO:0008152;GO:0009987;
GO:0000366	intergenic_mRNA_trans_splicing	GO:0008152;GO:0009987;
GO:0000372	Group_I_intron_splicing	GO:0008152;GO:0009987;
GO:0000373	Group_II_intron_splicing	GO:0008152;GO:0009987;
GO:0000374	Group_III_intron_splicing	GO:0008152;GO:0009987;
GO:0000375	RNA_splicing,_via_transesterification_reactions	GO:0008152;GO:0009987;
GO:0000376	RNA_splicing,_via_transesterification_reactions_with_guanosine_as_nucleophile	GO:0008152;GO:0009987;
GO:0000377	RNA_splicing,_via_transesterification_reactions_with_bulged_adenosine_as_nucleophile	GO:0008152;GO:0009987;
GO:0000378	RNA_exon_ligation	GO:0008152;GO:0009987;
GO:0000379	tRNA-type_intron_splice_site_recognition_and_cleavage	GO:0008152;GO:0009987;
GO:0000380	alternative_mRNA_splicing,_via_spliceosome	GO:0008152;GO:0009987;
GO:0000381	regulation_of_alternative_mRNA_splicing,_via_spliceosome	GO:0065007;
GO:0000387	spliceosomal_snRNP_assembly	GO:0009987;GO:0071840;
GO:0000388	spliceosome_conformational_change_to_release_U4_(or_U4atac)_and_U1_(or_U11)	GO:0009987;GO:0071840;
GO:0000389	mRNA_3'-splice_site_recognition	GO:0009987;GO:0071840;
GO:0000390	spliceosomal_complex_disassembly	GO:0009987;GO:0071840;
GO:0000393	spliceosomal_conformational_changes_to_generate_catalytic_conformation	GO:0009987;GO:0071840;
GO:0000394	RNA_splicing,_via_endonucleolytic_cleavage_and_ligation	GO:0008152;GO:0009987;
GO:0000395	mRNA_5'-splice_site_recognition	GO:0009987;GO:0071840;
GO:0000398	mRNA_splicing,_via_spliceosome	GO:0008152;GO:0009987;
GO:0000409	regulation_of_transcription_by_galactose	GO:0065007;
GO:0000410	carbon_catabolite_repression_of_transcription_by_galactose	GO:0009987;GO:0050896;GO:0065007;
GO:0000411	positive_regulation_of_transcription_by_galactose	GO:0009987;GO:0050896;GO:0065007;
GO:0000412	histone_peptidyl-prolyl_isomerization	GO:0008152;GO:0009987;GO:0071840;
GO:0000413	protein_peptidyl-prolyl_isomerization	GO:0008152;GO:0009987;
GO:0000414	regulation_of_histone_H3-K36_methylation	GO:0065007;
GO:0000415	negative_regulation_of_histone_H3-K36_methylation	GO:0065007;
GO:0000416	positive_regulation_of_histone_H3-K36_methylation	GO:0065007;
GO:0000422	autophagy_of_mitochondrion	GO:0008152;GO:0009987;GO:0071840;
GO:0000423	mitophagy	GO:0008152;GO:0009987;GO:0071840;
GO:0000424	micromitophagy	GO:0008152;GO:0009987;GO:0071840;
GO:0000425	pexophagy	GO:0008152;GO:0009987;
GO:0000426	micropexophagy	GO:0008152;GO:0009987;
GO:0000429	carbon_catabolite_regulation_of_transcription_from_RNA_polymerase_II_promoter	GO:0009987;GO:0050896;GO:0065007;
GO:0000430	regulation_of_transcription_from_RNA_polymerase_II_promoter_by_glucose	GO:0009987;GO:0050896;GO:0065007;
GO:0000431	regulation_of_transcription_from_RNA_polymerase_II_promoter_by_galactose	GO:0009987;GO:0050896;GO:0065007;
GO:0000432	positive_regulation_of_transcription_from_RNA_polymerase_II_promoter_by_glucose	GO:0009987;GO:0050896;GO:0065007;
GO:0000433	carbon_catabolite_repression_of_transcription_from_RNA_polymerase_II_promoter_by_glucose	GO:0009987;GO:0050896;GO:0065007;
GO:0000434	carbon_catabolite_repression_of_transcription_from_RNA_polymerase_II_promoter_by_galactose	GO:0009987;GO:0050896;GO:0065007;
GO:0000435	positive_regulation_of_transcription_from_RNA_polymerase_II_promoter_by_galactose	GO:0009987;GO:0050896;GO:0065007;
GO:0000436	carbon_catabolite_activation_of_transcription_from_RNA_polymerase_II_promoter	GO:0009987;GO:0050896;GO:0065007;
GO:0000437	carbon_catabolite_repression_of_transcription_from_RNA_polymerase_II_promoter	GO:0009987;GO:0050896;GO:0065007;
GO:0000447	endonucleolytic_cleavage_in_ITS1_to_separate_SSU-rRNA_from_5.8S_rRNA_and_LSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000448	cleavage_in_ITS2_between_5.8S_rRNA_and_LSU-rRNA_of_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000449	endonucleolytic_cleavage_of_tricistronic_rRNA_transcript_(SSU-rRNA,_LSU-rRNA,_5S)	GO:0008152;GO:0009987;
GO:0000450	cleavage_of_bicistronic_rRNA_transcript_(SSU-rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000451	rRNA_2'-O-methylation	GO:0008152;GO:0009987;
GO:0000452	snoRNA_guided_rRNA_2'-O-methylation	GO:0008152;GO:0009987;
GO:0000453	enzyme-directed_rRNA_2'-O-methylation	GO:0008152;GO:0009987;
GO:0000454	snoRNA_guided_rRNA_pseudouridine_synthesis	GO:0008152;GO:0009987;
GO:0000455	enzyme-directed_rRNA_pseudouridine_synthesis	GO:0008152;GO:0009987;
GO:0000457	endonucleolytic_cleavage_between_SSU-rRNA_and_LSU-rRNA_of_tricistronic_rRNA_transcript_(SSU-rRNA,_LSU-rRNA,_5S)	GO:0008152;GO:0009987;
GO:0000458	endonucleolytic_cleavage_between_LSU-rRNA_and_5S_rRNA_of_tricistronic_rRNA_transcript_(SSU-rRNA,_LSU-rRNA,_5S)	GO:0008152;GO:0009987;
GO:0000459	exonucleolytic_trimming_involved_in_rRNA_processing	GO:0008152;GO:0009987;
GO:0000460	maturation_of_5.8S_rRNA	GO:0008152;GO:0009987;
GO:0000461	endonucleolytic_cleavage_to_generate_mature_3'-end_of_SSU-rRNA_from_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000462	maturation_of_SSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000463	maturation_of_LSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000464	endonucleolytic_cleavage_in_ITS1_upstream_of_5.8S_rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000465	exonucleolytic_trimming_to_generate_mature_5'-end_of_5.8S_rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000466	maturation_of_5.8S_rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000467	exonucleolytic_trimming_to_generate_mature_3'-end_of_5.8S_rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000468	generation_of_mature_3'-end_of_LSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000469	cleavage_involved_in_rRNA_processing	GO:0008152;GO:0009987;
GO:0000470	maturation_of_LSU-rRNA	GO:0008152;GO:0009987;
GO:0000471	endonucleolytic_cleavage_in_3'-ETS_of_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000472	endonucleolytic_cleavage_to_generate_mature_5'-end_of_SSU-rRNA_from_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000473	maturation_of_LSU-rRNA_from_tetracistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_2S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000474	maturation_of_SSU-rRNA_from_tetracistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_2S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000475	maturation_of_2S_rRNA	GO:0008152;GO:0009987;
GO:0000476	maturation_of_4.5S_rRNA	GO:0008152;GO:0009987;
GO:0000477	generation_of_mature_5'-end_of_LSU-rRNA_from_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000478	endonucleolytic_cleavage_involved_in_rRNA_processing	GO:0008152;GO:0009987;
GO:0000479	endonucleolytic_cleavage_of_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000480	endonucleolytic_cleavage_in_5'-ETS_of_tricistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000481	maturation_of_5S_rRNA	GO:0008152;GO:0009987;
GO:0000482	maturation_of_5S_rRNA_from_tetracistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000483	endonucleolytic_cleavage_of_tetracistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_2S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000484	cleavage_between_SSU-rRNA_and_5.8S_rRNA_of_tetracistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_2S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000485	cleavage_between_2S_rRNA_and_LSU-rRNA_of_tetracistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_2S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000486	cleavage_between_5.8S_rRNA_and_2S_rRNA_of_tetracistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_2S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000487	maturation_of_5.8S_rRNA_from_tetracistronic_rRNA_transcript_(SSU-rRNA,_5.8S_rRNA,_2S_rRNA,_LSU-rRNA)	GO:0008152;GO:0009987;
GO:0000488	maturation_of_LSU-rRNA_from_tetracistronic_rRNA_transcript_(SSU-rRNA,_LSU-rRNA,_4.5S-rRNA,_5S-rRNA)	GO:0008152;GO:0009987;
GO:0000489	maturation_of_SSU-rRNA_from_tetracistronic_rRNA_transcript_(SSU-rRNA,_LSU-rRNA,_4.5S-rRNA,_5S-rRNA)	GO:0008152;GO:0009987;
GO:0000491	small_nucleolar_ribonucleoprotein_complex_assembly	GO:0009987;GO:0071840;
GO:0000492	box_C/D_snoRNP_assembly	GO:0009987;GO:0071840;
GO:0000493	box_H/ACA_snoRNP_assembly	GO:0009987;GO:0071840;
GO:0000494	box_C/D_snoRNA_3'-end_processing	GO:0008152;GO:0009987;
GO:0000495	box_H/ACA_snoRNA_3'-end_processing	GO:0008152;GO:0009987;
GO:0000501	flocculation_via_cell_wall_protein-carbohydrate_interaction	GO:0051704;GO:0098743;
GO:0000578	embryonic_axis_specification	GO:0032501;
GO:0000705	achiasmate_meiosis_I	GO:0009987;GO:0022414;GO:0071840;
GO:0000706	meiotic_DNA_double-strand_break_processing	GO:0008152;GO:0009987;GO:0022414;
GO:0000707	meiotic_DNA_recombinase_assembly	GO:0009987;GO:0022414;GO:0071840;
GO:0000708	meiotic_strand_invasion	GO:0008152;GO:0009987;GO:0022414;
GO:0000709	meiotic_joint_molecule_formation	GO:0009987;GO:0022414;
GO:0000710	meiotic_mismatch_repair	GO:0008152;GO:0009987;GO:0022414;GO:0050896;
GO:0000711	meiotic_DNA_repair_synthesis	GO:0008152;GO:0009987;GO:0022414;
GO:0000712	resolution_of_meiotic_recombination_intermediates	GO:0009987;GO:0022414;
GO:0000713	meiotic_heteroduplex_formation	GO:0009987;GO:0022414;
GO:0000714	meiotic_strand_displacement	GO:0008152;GO:0009987;GO:0022414;
GO:0000715	nucleotide-excision_repair,_DNA_damage_recognition	GO:0009987;GO:0071840;
GO:0000716	transcription-coupled_nucleotide-excision_repair,_DNA_damage_recognition	GO:0009987;GO:0071840;
GO:0000717	nucleotide-excision_repair,_DNA_duplex_unwinding	GO:0009987;GO:0071840;
GO:0000718	nucleotide-excision_repair,_DNA_damage_removal	GO:0008152;GO:0009987;
GO:0000719	photoreactive_repair	GO:0008152;GO:0009987;GO:0050896;
GO:0000720	pyrimidine_dimer_repair_by_nucleotide-excision_repair	GO:0008152;GO:0009987;GO:0050896;
GO:0000722	telomere_maintenance_via_recombination	GO:0008152;GO:0009987;GO:0065007;GO:0071840;
GO:0000723	telomere_maintenance	GO:0008152;GO:0009987;GO:0065007;GO:0071840;
GO:0000724	double-strand_break_repair_via_homologous_recombination	GO:0008152;GO:0009987;GO:0050896;
GO:0000725	recombinational_repair	GO:0008152;GO:0009987;GO:0050896;
GO:0000726	non-recombinational_repair	GO:0008152;GO:0009987;GO:0050896;
GO:0000727	double-strand_break_repair_via_break-induced_replication	GO:0008152;GO:0009987;GO:0050896;
GO:0000728	gene_conversion_at_mating-type_locus,_DNA_double-strand_break_formation	GO:0008152;GO:0009987;GO:0022414;
GO:0000729	DNA_double-strand_break_processing	GO:0008152;GO:0009987;
GO:0000730	DNA_recombinase_assembly	GO:0009987;GO:0071840;
GO:0000731	DNA_synthesis_involved_in_DNA_repair	GO:0008152;GO:0009987;
GO:0000732	strand_displacement	GO:0008152;GO:0009987;
GO:0000733	DNA_strand_renaturation	GO:0008152;GO:0009987;GO:0071840;
GO:0000734	gene_conversion_at_mating-type_locus,_DNA_repair_synthesis	GO:0008152;GO:0009987;GO:0022414;
GO:0000735	removal_of_nonhomologous_ends	GO:0008152;GO:0009987;
GO:0000736	double-strand_break_repair_via_single-strand_annealing,_removal_of_nonhomologous_ends	GO:0008152;GO:0009987;
GO:0000737	DNA_catabolic_process,_endonucleolytic	GO:0008152;GO:0009987;
GO:0000738	DNA_catabolic_process,_exonucleolytic	GO:0008152;GO:0009987;
GO:0000740	nuclear_membrane_fusion	GO:0009987;GO:0071840;
GO:0000741	karyogamy	GO:0009987;GO:0071840;
GO:0000742	karyogamy_involved_in_conjugation_with_cellular_fusion	GO:0009987;GO:0022414;GO:0071840;
GO:0000743	nuclear_migration_involved_in_conjugation_with_cellular_fusion	GO:0009987;GO:0022414;GO:0051179;
GO:0000744	karyogamy_involved_in_conjugation_with_mutual_genetic_exchange	GO:0009987;GO:0071840;
GO:0000745	nuclear_migration_involved_in_conjugation_with_mutual_genetic_exchange	GO:0051179;
GO:0000746	conjugation	GO:0009987;GO:0051704;
GO:0000747	conjugation_with_cellular_fusion	GO:0000003;GO:0009987;GO:0022414;GO:0051704;
GO:0000748	conjugation_with_mutual_genetic_exchange	GO:0009987;GO:0051704;
GO:0000749	response_to_pheromone_triggering_conjugation_with_cellular_fusion	GO:0009987;GO:0050896;GO:0065007;
GO:0000750	pheromone-dependent_signal_transduction_involved_in_conjugation_with_cellular_fusion	GO:0009987;GO:0065007;
GO:0000751	mitotic_cell_cycle_G1_arrest_in_response_to_pheromone	GO:0009987;GO:0065007;
GO:0000752	agglutination_involved_in_conjugation_with_cellular_fusion	GO:0022414;GO:0022610;GO:0051704;GO:0098743;
GO:0000753	cell_morphogenesis_involved_in_conjugation_with_cellular_fusion	GO:0009987;GO:0022414;GO:0032502;GO:0071840;
GO:0000754	adaptation_of_signaling_pathway_by_response_to_pheromone_involved_in_conjugation_with_cellular_fusion	GO:0065007;
GO:0000755	cytogamy	GO:0022414;
GO:0000756	response_to_pheromone_regulating_conjugation_with_mutual_genetic_exchange	GO:0009987;GO:0050896;GO:0065007;
GO:0000758	agglutination_involved_in_conjugation_with_mutual_genetic_exchange	GO:0022610;GO:0051704;GO:0098743;
GO:0000759	cell_morphogenesis_involved_in_conjugation_with_mutual_genetic_exchange	GO:0009987;GO:0032502;GO:0071840;
GO:0000760	adaptation_to_pheromone_regulating_conjugation_with_mutual_genetic_exchange	GO:0009987;GO:0050896;GO:0065007;
GO:0000761	conjugant_formation	GO:0022610;GO:0051704;
GO:0000762	pheromone-induced_unidirectional_conjugation	GO:0009987;GO:0051704;
GO:0000765	response_to_pheromone_regulating_pheromone-induced_unidirectional_conjugation	GO:0050896;GO:0065007;
GO:0000766	negative_adaptation_of_signaling_pathway_by_response_to_pheromone_involved_in_pheromone-induced_unidirectional_conjugation	GO:0065007;
GO:0000767	cell_morphogenesis_involved_in_conjugation	GO:0009987;GO:0032502;GO:0071840;
GO:0000768	syncytium_formation_by_plasma_membrane_fusion	GO:0009987;GO:0032502;
GO:0000769	syncytium_formation_by_mitosis_without_cytokinesis	GO:0009987;GO:0032502;
GO:0000770	peptide_pheromone_export	GO:0051179;GO:0065007;
GO:0000771	agglutination_involved_in_conjugation	GO:0022610;GO:0051704;
GO:0000819	sister_chromatid_segregation	GO:0009987;GO:0071840;
GO:0000820	regulation_of_glutamine_family_amino_acid_metabolic_process	GO:0065007;
